ja_prompt,zh_prompt,en_prompt,fr_prompt,ja_prompt_masked,zh_prompt_masked,en_prompt_masked,fr_prompt_masked,ja,zh,en,fr,ja1,zh1,en1,fr1,ar
"""電話""は、話をするために使用される機器です。答え: ""電話""","""电话""是用来通话的设备。答案: ""电话""","""Telephone"" is a device used for communication. Answer: ""telephone""","""Téléphone"" est un appareil utilisé pour communiquer. Réponse: ""téléphone""","""__""は、話をするために使用される機器です。答え: ""電話""","""__""是用来通话的设备。答案: ""电话""","""__"" is a device used for communication. Answer: ""telephone""","""__"" est un appareil utilisé pour communiquer. Réponse: ""téléphone""",電話,电话,telephone,téléphone,マイク,手机,phone,portable,هاتف
"""問題""は、解決する必要がある課題です。答え: ""問題""","""问题""是需要解决的难题。答案: ""问题""","""Problem"" is something that needs to be solved. Answer: ""problem""","""Problème"" est quelque chose qui doit être résolu. Réponse: ""problème""","""__""は、解決する必要がある課題です。答え: ""問題""","""__""是需要解决的难题。答案: ""问题""","""__"" is something that needs to be solved. Answer: ""problem""","""__"" est quelque chose qui doit être résolu. Réponse: ""problème""",問題,问题,problem,problème,タスク,难题,issue,affaire,مشكلة
"""結婚""は、二人の人々が正式に夫婦になることです。答え: ""結婚""","""结婚""是两个人正式成为夫妻。答案: ""结婚""","""Marriage"" is when two people become officially married. Answer: ""marriage""","""Mariage"" est lorsque deux personnes deviennent officiellement mariées. Réponse: ""mariage""","""__""は、二人の人々が正式に夫婦になることです。答え: ""結婚""","""__""是两个人正式成为夫妻。答案: ""结婚""","""__"" is when two people become officially married. Answer: ""marriage""","""__"" est lorsque deux personnes deviennent officiellement mariées. Réponse: ""mariage""",結婚,婚姻,marriage,mariage,婚姻,婚礼,wedding,marié,زواج
"""毎日""は、日々のことを指します。答え: ""毎日""","""每日""指每天的事情。答案: ""每日""","""Everyday"" refers to daily occurrences. Answer: ""everyday""","""Tous les jours"" désigne les événements quotidiens. Réponse: ""tous les jours""","""__""は、日々のことを指します。答え: ""毎日""","""__""指每天的事情。答案: ""每日""","""__"" refers to daily occurrences. Answer: ""everyday""","""__"" désigne les événements quotidiens. Réponse: ""tous les jours""",毎日,每日,everyday,tous les jours,日常,日子,routine,quotidien,كل يوم
"""英語""は、英語を話す言語です。答え: ""英語""","""英语""是使用英语的语言。答案: ""英语""","""English"" is the language spoken in English. Answer: ""English""","""Anglais"" est la langue parlée en anglais. Réponse: ""anglais""","""__""は、英語を話す言語です。答え: ""英語""","""__""是使用英语的语言。答案: ""英语""","""__"" is the language spoken in English. Answer: ""English""","""__"" est la langue parlée en anglais. Réponse: ""anglais""",英語,英语,English,anglais,アメリカ,英文,English,langue anglaise,إنجليزي
"""銀行""は、お金を預けたり借りたりする場所です。答え: ""銀行""","""银行""是存钱和借钱的地方。答案: ""银行""","""Bank"" is a place to deposit and borrow money. Answer: ""bank""","""Banque"" est un endroit pour déposer et emprunter de l'argent. Réponse: ""banque""","""__""は、お金を預けたり借りたりする場所です。答え: ""銀行""","""__""是存钱和借钱的地方。答案: ""银行""","""__"" is a place to deposit and borrow money. Answer: ""bank""","""__"" est un endroit pour déposer et emprunter de l'argent. Réponse: ""banque""",銀行,银行,bank,banque,金融機関,金融机构,credit union,bancaire,بنك
"""午後""は、正午から夜までの時間です。答え: ""午後""","""午后""是从中午到晚上的时间。答案: ""午后""","""Afternoon"" is the time from noon to evening. Answer: ""afternoon""","""Après-midi"" est le temps de midi à soir. Réponse: ""après-midi""","""__""は、正午から夜までの時間です。答え: ""午後""","""__""是从中午到晚上的时间。答案: ""午后""","""__"" is the time from noon to evening. Answer: ""afternoon""","""__"" est le temps de midi à soir. Réponse: ""après-midi""",午後,午后,afternoon,après-midi,夕方,下午,early evening,soirée,بعد الظهر
"""玄関""は、建物の入口です。答え: ""玄関""","""玄关""是建筑物的入口。答案: ""玄关""","""Entrance"" is the entry point to a building. Answer: ""entrance""","""Entrée"" est le point d'entrée d'un bâtiment. Réponse: ""entrée""","""__""は、建物の入口です。答え: ""玄関""","""__""是建筑物的入口。答案: ""玄关""","""__"" is the entry point to a building. Answer: ""entrance""","""__"" est le point d'entrée d'un bâtiment. Réponse: ""entrée""",玄関,玄关,entrance,entrée,入口,门,door,porte,مدخل
"""音楽""は、聴くことができる音の芸術です。答え: ""音楽""","""音乐""是可以听的声音艺术。答案: ""音乐""","""Music"" is the art of sound that can be heard. Answer: ""music""","""Musique"" est l'art du son qui peut être entendu. Réponse: ""musique""","""__""は、聴くことができる音の芸術です。答え: ""音楽""","""__""是可以听的声音艺术。答案: ""音乐""","""__"" is the art of sound that can be heard. Answer: ""music""","""__"" est l'art du son qui peut être entendu. Réponse: ""musique""",音楽,音乐,music,musique,ミュージック,声乐,sonics,sonorité,موسيقى
"""公園""は、公共の遊び場です。答え: ""公園""","""公园""是公共的游乐场所。答案: ""公园""","""Park"" is a public recreational area. Answer: ""park""","""Parc"" est une zone de loisirs publique. Réponse: ""parc""","""__""は、公共の遊び場です。答え: ""公園""","""__""是公共的游乐场所。答案: ""公园""","""__"" is a public recreational area. Answer: ""park""","""__"" est une zone de loisirs publique. Réponse: ""parc""",公園,公园,park,parc,広場,广场,playground,espace vert,حديقة
